hour,Mon,Die,Mit,Do,Fr,Sa,So
0,18,18,18.2,18.3,18.3,19,19.2
1,17.8,18,18.2,18.2,18.3,18.7,18.7
2,17.8,17.8,18,18,18.2,18.5,18.5
3,17.3,17.3,17.3,17.3,17.5,18,18.2
4,16.7,16.8,16.7,16.8,16.8,17.5,17.8
5,17.3,17.3,17.2,17.2,17.2,17.3,17.3
6,19.7,19.7,19.5,19.5,19.2,17.5,17.3
7,23.5,23.7,23.3,23.2,22,17.8,17.5
8,25.7,25.8,25.2,25.3,23.2,18.5,18
9,23.8,24.2,23.7,23.8,22.7,19.7,18.8
10,22.8,23.2,23,23.2,23,20.8,19.7
11,23,23.3,23.3,23.5,23.7,22,20.8
12,23.5,23.8,23.8,24.2,25.5,23.2,21.7
13,23.3,23.8,24,24.3,26.8,23.8,22.2
14,24,24.7,25,25.2,28,24.3,22.8
15,25.5,26.3,26.5,27.2,28.2,24,22.3
16,26.2,27.5,27.5,28.2,26.7,23.2,22.2
17,25.5,27,27.3,27.5,25.5,22.8,22.2
18,23.5,25,24.8,25.2,24.2,22.5,21.8
19,21.3,21.8,21.8,22,22.5,21.7,20.8
20,20,20.3,20.3,20.3,21.2,21,20
21,19.2,19.3,19.5,19.5,20.3,20.2,19.2
22,18.7,18.8,19,19.2,19.8,20,18.7
23,18.2,18.3,18.5,18.7,19.5,19.7,18
