city,2023,tl_2019,tl_2020,tl_2021,tl_2022,tl_2023
Aachen,19.2,18.3,18.2,18.3,18.5,19.2
Augsburg,14.7,14.7,14.3,14.7,14.5,14.7
Berlin,22,22.3,21.5,22,22.2,22
Bielefeld,16.2,15.7,15.3,16.2,16.3,16.2
Bonn,15.7,14.8,14,14.2,14.2,15.7
Bremen,16.5,16.3,15.7,15.8,16.2,16.5
Köln,20.2,20,19.2,19.7,20,20.2
Dresden,19.8,19.7,19.2,19.3,19.8,19.8
Düsseldorf,18.7,18.8,17.8,18.2,18.5,18.7
Frankfurt am Main,20.7,20.2,19.3,20,21.5,20.7
Freiburg,16.2,16.3,16.2,16.2,16.2,16.2
Hamburg,23.8,23.3,22.5,23.2,23.3,23.8
Hannover,18.8,17.8,17.3,17.7,18,18.8
Karlsruhe,14,14.2,13.7,14.3,14.5,14
Kassel,20,19.3,18.8,19.2,19.5,20
Kiel,14.5,14.2,14,14.3,14,14.5
Leipzig,21.5,20.8,20.8,21.3,21.3,21.5
Mannheim,17.3,15.8,15.5,16.3,17.7,17.3
Mönchengladbach,18.5,18,18,18.3,18.3,18.5
München,20.5,20.7,19.5,20.3,20.2,20.5
Münster,17.8,18.7,18.3,18.8,19,17.8
Nürnberg,18.5,18.7,18.2,18.3,18.3,18.5
Ruhrregion Ost,11.7,11.5,11.2,11.8,11.5,11.7
Ruhrregion West,15,15.2,14.3,14.7,14.8,15
Stuttgart,19.3,19.2,18.8,19.2,19,19.3
Wiesbaden,19.8,16.5,16.2,18.2,19.5,19.8
Wuppertal,13,11.8,12,12.3,12.3,13
